ST    WMF    T_eq          M_p       Age       R_b  R_20mbar  R_1mibar       T_b     T_int           s_env          I/MR^2        L_env         L_rad        L_core        L_grav        u_tot
M   0.0010   400.0   0.20000000    0.0010   0.64893   1.18359   1.31647   6563.86    933.21   1.6520000e+04   3.1804000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -6.89738e+30
M   0.0010   400.0   0.20000000    0.0015   0.62547   0.83241   0.89559   2923.55    220.05   1.3000035e+04   3.2306500e-01  3.97628e+14   5.39024e+13   2.41633e+16   2.39811e+15  -1.27605e+31
M   0.0010   400.0   0.20000000    0.0020   0.62442   0.81833   0.88071   2694.93    177.91   1.2647229e+04   3.2329000e-01  1.68233e+14   5.38880e+13   1.02233e+16   1.01462e+15  -1.30219e+31
M   0.0010   400.0   0.20000000    0.0030   0.62351   0.80755   0.86968   2491.02    145.49   1.2310157e+04   3.2349000e-01  7.47019e+13   5.38594e+13   4.53954e+15   4.50531e+14  -1.32504e+31
M   0.0010   400.0   0.20000000    0.0050   0.62270   0.79838   0.86030   2319.24    118.43   1.2008472e+04   3.2366000e-01  3.22572e+13   5.38018e+13   1.96023e+15   1.94544e+14  -1.34516e+31
M   0.0010   400.0   0.20000000    0.0100   0.62188   0.78735   0.84909   2142.02     95.43   1.1678779e+04   3.2383625e-01  1.31054e+13   5.36586e+13   7.96400e+14   7.90395e+13  -1.36578e+31
M   0.0010   400.0   0.20000000    0.0200   0.62119   0.77572   0.83733   1996.11     78.55   1.1391983e+04   3.2398476e-01  5.57898e+12   5.33750e+13   3.39027e+14   3.36471e+13  -1.38298e+31
M   0.0010   400.0   0.20000000    0.0300   0.62082   0.76974   0.83128   1926.14     71.17   1.1249117e+04   3.2406090e-01  3.50479e+12   5.30923e+13   2.12982e+14   2.11376e+13  -1.39213e+31
M   0.0010   400.0   0.20000000    0.0500   0.62042   0.76214   0.82360   1830.97     61.89   1.1048780e+04   3.2415000e-01  1.67379e+12   5.25289e+13   1.01714e+14   1.00947e+13  -1.40218e+31
M   0.0010   400.0   0.20000000    0.1000   0.62000   0.75541   0.81679   1740.64     53.91   1.0851708e+04   3.2424039e-01  6.53194e+11   5.11673e+13   3.96938e+13   3.93944e+12  -1.41275e+31
M   0.0010   400.0   0.20000000    0.2000   0.61969   0.75103   0.81236   1678.89     48.80   1.0712768e+04   3.2430919e-01  2.26146e+11   4.85835e+13   1.37426e+13   1.36389e+12  -1.42043e+31
